,LocationName,ISO,country,region,world_region,MPI,geo,lat,lon
0,"Badakhshan, Afghanistan",AFG,Afghanistan,Badakhshan,South Asia,0.387,"(36.7347725, 70.81199529999999)",36.7347725,70.81199529999998
1,"Badghis, Afghanistan",AFG,Afghanistan,Badghis,South Asia,0.466,"(35.1671339, 63.7695384)",35.167133899999996,63.769538399999995
2,"Baghlan, Afghanistan",AFG,Afghanistan,Baghlan,South Asia,0.3,"(35.8042947, 69.2877535)",35.80429470000001,69.28775350000001
3,"Balkh, Afghanistan",AFG,Afghanistan,Balkh,South Asia,0.301,"(36.7550603, 66.8975372)",36.7550603,66.8975372
4,"Bamyan, Afghanistan",AFG,Afghanistan,Bamyan,South Asia,0.325,"(34.8100067, 67.8212104)",34.8100067,67.8212104
5,"Daykundi, Afghanistan",AFG,Afghanistan,Daykundi,South Asia,0.313,"(33.669495, 66.0463534)",33.669495,66.0463534
6,"Farah, Afghanistan",AFG,Afghanistan,Farah,South Asia,0.319,"(32.4464635, 62.1454133)",32.4464635,62.145413299999994
7,"Faryab, Afghanistan",AFG,Afghanistan,Faryab,South Asia,0.25,"(36.0795613, 64.90595499999999)",36.079561299999995,64.90595499999999
8,"Ghazni, Afghanistan",AFG,Afghanistan,Ghazni,South Asia,0.245,"(33.5450587, 68.4173972)",33.5450587,68.41739720000001
9,"Ghor, Afghanistan",AFG,Afghanistan,Ghor,South Asia,0.384,"(34.0995776, 64.90595499999999)",34.0995776,64.90595499999999
10,"Helmand, Afghanistan",AFG,Afghanistan,Helmand,South Asia,0.261,"(31.3636474, 63.95861110000001)",31.363647399999998,63.95861110000001
11,"Herat, Afghanistan",AFG,Afghanistan,Herat,South Asia,0.353,"(11.6155109, 104.3791912)",11.6155109,104.37919120000001
12,"Jawzjan, Afghanistan",AFG,Afghanistan,Jawzjan,South Asia,0.293,"(36.8969692, 65.6658568)",36.8969692,65.6658568
13,"Kabul, Afghanistan",AFG,Afghanistan,Kabul,South Asia,0.117,"(34.5553494, 69.207486)",34.5553494,69.207486
14,"Kandahar, Afghanistan",AFG,Afghanistan,Kandahar,South Asia,0.4370000000000001,"(31.628871, 65.7371749)",31.628871000000004,65.7371749
15,"Kapisa, Afghanistan",AFG,Afghanistan,Kapisa,South Asia,0.28,"(34.9810572, 69.6214562)",34.9810572,69.6214562
16,"Khost, Afghanistan",AFG,Afghanistan,Khost,South Asia,0.29600000000000004,"(33.3338472, 69.9371673)",33.3338472,69.9371673
17,"Kunarha, Afghanistan",AFG,Afghanistan,Kunarha,South Asia,0.269,"(34.8465893, 71.097317)",34.8465893,71.097317
18,"Kunduz, Afghanistan",AFG,Afghanistan,Kunduz,South Asia,0.294,"(36.7285907, 68.8680663)",36.7285907,68.8680663
19,"Laghman, Afghanistan",AFG,Afghanistan,Laghman,South Asia,0.369,"(34.6897687, 70.1455805)",34.6897687,70.14558050000001
20,"Logar, Afghanistan",AFG,Afghanistan,Logar,South Asia,0.187,"(34.0145518, 69.1923916)",34.0145518,69.1923916
21,"Nangarhar, Afghanistan",AFG,Afghanistan,Nangarhar,South Asia,0.287,"(34.1718313, 70.6216794)",34.171831299999994,70.6216794
22,"Nimroz, Afghanistan",AFG,Afghanistan,Nimroz,South Asia,0.231,"(31.0261488, 62.4504154)",31.0261488,62.4504154
23,"Nooristan, Afghanistan",AFG,Afghanistan,Nooristan,South Asia,0.611,"(35.3250223, 70.90712359999999)",35.3250223,70.90712359999998
24,"Paktika, Afghanistan",AFG,Afghanistan,Paktika,South Asia,0.13699999999999998,"(32.2645386, 68.52471489999999)",32.2645386,68.52471489999999
25,"Paktya, Afghanistan",AFG,Afghanistan,Paktya,South Asia,0.218,"(33.706199, 69.3831079)",33.706199,69.3831079
26,"Panjsher, Afghanistan",AFG,Afghanistan,Panjsher,South Asia,0.12,"(35.5025772, 69.9550338)",35.50257720000001,69.9550338
27,"Parwan, Afghanistan",AFG,Afghanistan,Parwan,South Asia,0.294,"(34.9630977, 68.81088489999999)",34.9630977,68.81088489999999
28,"Samangan, Afghanistan",AFG,Afghanistan,Samangan,South Asia,0.35,"(35.9807296, 67.57085359999999)",35.98072960000001,67.57085359999999
29,"Sar-E-Pul, Afghanistan",AFG,Afghanistan,Sar-E-Pul,South Asia,0.341,"(35.6707473, 66.0463534)",35.6707473,66.0463534
30,"Takhar, Afghanistan",AFG,Afghanistan,Takhar,South Asia,0.361,"(36.6698013, 69.4784541)",36.669801299999996,69.4784541
31,"Urozgan, Afghanistan",AFG,Afghanistan,Urozgan,South Asia,0.624,"(32.9271287, 66.1415263)",32.927128700000004,66.1415263
32,"Wardak, Afghanistan",AFG,Afghanistan,Wardak,South Asia,0.34,"(34.3513494, 68.2385339)",34.351349400000004,68.23853390000001
33,"Zabul, Afghanistan",AFG,Afghanistan,Zabul,South Asia,0.175,"(32.1918782, 67.1894488)",32.1918782,67.18944880000001
34,,ALB,Albania,,Europe and Central Asia,,"(1000.0, 1000.0)",,
35,,ARM,Armenia,,Europe and Central Asia,,"(1000.0, 1000.0)",,
36,,AZE,Azerbaijan,,Europe and Central Asia,,"(1000.0, 1000.0)",,
37,"Bujumbura Mairie, Burundi",BDI,Burundi,Bujumbura Mairie,Sub-Saharan Africa,0.16399999999999998,"(-3.4146958, 29.3598782)",-3.4146958,29.3598782
38,"Nord, Burundi",BDI,Burundi,Nord,Sub-Saharan Africa,0.501,"(-3.373056, 29.918886)",-3.3730559999999996,29.918885999999997
39,"Centre-Est, Burundi",BDI,Burundi,Centre-Est,Sub-Saharan Africa,0.473,"(9.0630743, 7.464915)",9.0630743,7.464914999999999
40,"Ouest, Burundi",BDI,Burundi,Ouest,Sub-Saharan Africa,0.499,"(-3.373056, 29.918886)",-3.3730559999999996,29.918885999999997
41,"Sud, Burundi",BDI,Burundi,Sud,Sub-Saharan Africa,0.422,"(14.6090537, 121.0222565)",14.609053699999999,121.0222565
42,"Alibori, Benin",BEN,Benin,Alibori,Sub-Saharan Africa,0.528,"(10.9681093, 2.7779813)",10.9681093,2.7779813
43,"Atacora, Benin",BEN,Benin,Atacora,Sub-Saharan Africa,0.454,"(10.7954931, 1.6760691)",10.7954931,1.6760691000000003
44,"Atlantique, Benin",BEN,Benin,Atlantique,Sub-Saharan Africa,0.278,"(6.6588391, 2.2236667)",6.6588391000000025,2.2236667000000003
45,"Borgou, Benin",BEN,Benin,Borgou,Sub-Saharan Africa,0.35100000000000003,"(9.5340864, 2.7779813)",9.5340864,2.7779813
46,"Collines, Benin",BEN,Benin,Collines,Sub-Saharan Africa,0.292,"(13.718252, -2.302446)",13.718252,-2.3024459999999998
47,"Couffo, Benin",BEN,Benin,Couffo,Sub-Saharan Africa,0.345,"(7.003589400000001, 1.7538817)",7.003589400000001,1.7538817
48,"Donga, Benin",BEN,Benin,Donga,Sub-Saharan Africa,0.335,"(9.7191867, 1.6760691)",9.7191867,1.6760691000000003
49,"Littoral, Benin",BEN,Benin,Littoral,Sub-Saharan Africa,0.083,"(6.3806973, 2.4406387)",6.3806973,2.4406387
50,"Mono, Benin",BEN,Benin,Mono,Sub-Saharan Africa,0.259,"(6.6607182, 1.7538817)",6.6607182,1.7538817
51,"Ouðmð, Benin",BEN,Benin,Ouðmð,Sub-Saharan Africa,0.238,"(1000.0, 1000.0)",,
52,"Plateau, Benin",BEN,Benin,Plateau,Sub-Saharan Africa,0.34700000000000003,"(7.3445141, 2.539603)",7.3445141000000005,2.539603
53,"Zou, Benin",BEN,Benin,Zou,Sub-Saharan Africa,0.334,"(7.346926799999999, 2.0665197)",7.3469267999999985,2.0665197
54,"Boucle de mouhoun, Burkina Faso",BFA,Burkina Faso,Boucle de mouhoun,Sub-Saharan Africa,0.591,"(8.8556838, 7.179025999999999)",8.8556838,7.179025999999999
55,"Cascades, Burkina Faso",BFA,Burkina Faso,Cascades,Sub-Saharan Africa,0.493,"(10.4072992, -4.5624426)",10.4072992,-4.5624426
56,"Centre, Burkina Faso",BFA,Burkina Faso,Centre,Sub-Saharan Africa,0.207,"(12.3425897, -1.443469)",12.3425897,-1.4434690000000001
57,"Centre-est, Burkina Faso",BFA,Burkina Faso,Centre-est,Sub-Saharan Africa,0.58,"(11.5247674, -0.1494988)",11.5247674,-0.1494988
58,"Centre-nord, Burkina Faso",BFA,Burkina Faso,Centre-nord,Sub-Saharan Africa,0.575,"(13.1724464, -0.9056623)",13.1724464,-0.9056622999999999
59,"Centre-ouest, Burkina Faso",BFA,Burkina Faso,Centre-ouest,Sub-Saharan Africa,0.5539999999999999,"(11.8798466, -2.302446)",11.8798466,-2.3024459999999998
60,"Centre-sud, Burkina Faso",BFA,Burkina Faso,Centre-sud,Sub-Saharan Africa,0.513,"(11.5228911, -1.0586135)",11.522891099999999,-1.0586135
61,"Est, Burkina Faso",BFA,Burkina Faso,Est,Sub-Saharan Africa,0.698,"(12.4365526, 0.9056623)",12.4365526,0.9056622999999999
62,"Hauts basins, Burkina Faso",BFA,Burkina Faso,Hauts basins,Sub-Saharan Africa,0.459,"(11.4942003, -4.2333355)",11.494200300000001,-4.2333355
63,"Nord, Burkina Faso",BFA,Burkina Faso,Nord,Sub-Saharan Africa,0.581,"(1000.0, 1000.0)",,
64,"Plateau central, Burkina Faso",BFA,Burkina Faso,Plateau central,Sub-Saharan Africa,0.524,"(12.2537648, -0.7532808999999999)",12.2537648,-0.7532808999999999
65,"Sahel, Burkina Faso",BFA,Burkina Faso,Sahel,Sub-Saharan Africa,0.69,"(14.1000865, -0.1494988)",14.1000865,-0.1494988
66,"Sud-ouest, Burkina Faso",BFA,Burkina Faso,Sud-ouest,Sub-Saharan Africa,0.655,"(10.4231493, -3.2583626)",10.4231493,-3.2583626
67,"Barisal, Bangladesh",BGD,Bangladesh,Barisal,South Asia,0.224,"(22.7029212, 90.3465971)",22.7029212,90.3465971
68,"Chittagong, Bangladesh",BGD,Bangladesh,Chittagong,South Asia,0.18600000000000005,"(22.3475365, 91.8123324)",22.3475365,91.8123324
69,"Dhaka, Bangladesh",BGD,Bangladesh,Dhaka,South Asia,0.174,"(23.810332, 90.4125181)",23.810332,90.4125181
